gen,gen,min,avg,max,std
0,0,-718.1347501111492,-391.4672649445645,-106.00854192573678,181.74886089888727
1,1,-571.4049001217944,-296.0229197545367,-76.92254720711422,139.0089615120842
2,2,-406.1755861757111,-196.27258252953658,-76.92254720711422,85.61091619657866
3,3,-406.1755861757111,-154.955078646233,-76.92254720711422,54.52100266660544
4,4,-278.19291641375645,-128.48324075471518,-59.52179325636678,27.677604860898025
5,5,-143.98674214571784,-119.40983250629074,-59.52179325636678,24.0180427154934
6,6,-139.45718878262906,-106.0752181693383,-7.615577175527862,35.502387767238496
7,7,-138.18627705710688,-80.99752789206059,-7.615577175527862,39.54410816764583
8,8,-261.71135034276034,-69.07844090556124,-7.615577175527862,46.12277335707088
9,9,-166.36918973812138,-44.08883971265876,-7.615577175527862,36.233426939411345
10,10,-133.85335181488588,-24.766678007930736,-1.3008979688396185,29.271717321582955
11,11,-223.759371119183,-13.98241531037082,-1.3008979688396185,27.43511282675935
12,12,-130.07832694731434,-8.839657285135921,-1.3008979688396185,14.832414326881363
13,13,-7.615577175527862,-6.442851037142901,-1.3008979688396185,2.4556267561557483
14,14,-7.615577175527862,-5.721173413521386,-1.3008979688396185,2.893749545401257
15,15,-98.29877830334173,-5.779514163503342,0.953361502225313,11.594532591757698
